City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date Reported
Gijon,ES,43.54,70.0,82,20,8.05,07/12/2019 - 05:40 PM
Moville,IE,55.18,55.82,92,68,14.12,07/12/2019 - 05:41 PM
Kiunga,PG,-6.12,65.36,99,100,2.01,07/12/2019 - 05:41 PM
Marsa Matruh,EG,31.35,78.5,82,0,9.69,07/12/2019 - 05:41 PM
Koygorodok,RU,60.44,52.22,98,40,2.55,07/12/2019 - 05:41 PM
Usinsk,RU,66.0,52.22,62,2,10.04,07/12/2019 - 05:41 PM
Baghmara,IN,23.8,81.56,79,100,7.76,07/12/2019 - 05:41 PM
Boissevain,CA,49.23,78.01,60,20,6.93,07/12/2019 - 05:41 PM
Severnoye,RU,54.09,63.74,97,98,11.77,07/12/2019 - 05:41 PM
Sibu,MY,2.29,75.2,100,75,1.12,07/12/2019 - 05:41 PM
Guilin,CN,25.28,75.2,94,75,6.71,07/12/2019 - 05:41 PM
Pimentel,PE,-6.84,66.2,29,0,13.87,07/12/2019 - 05:41 PM
Taltal,CL,-25.41,58.88,66,54,5.44,07/12/2019 - 05:38 PM
Arroyo,US,41.39,77.0,73,90,5.82,07/12/2019 - 05:41 PM
Akonolinga,CM,3.77,66.8,99,99,0.96,07/12/2019 - 05:41 PM
Siyabuswa,ZA,-25.11,51.32,41,0,1.83,07/12/2019 - 05:41 PM
Tongren,CN,27.72,66.44,93,98,1.23,07/12/2019 - 05:41 PM
Vao,NC,-22.67,70.94,78,79,18.5,07/12/2019 - 05:41 PM
Porto-Vecchio,FR,41.59,77.0,69,0,11.41,07/12/2019 - 05:41 PM
Hofn,IS,64.25,43.22,97,100,1.97,07/12/2019 - 05:41 PM
Souris,CA,46.36,66.2,68,90,14.99,07/12/2019 - 05:41 PM
Usta Muhammad,PK,28.18,94.7,44,0,14.58,07/12/2019 - 05:41 PM
Rawson,AR,-43.3,47.9,47,0,6.8,07/12/2019 - 05:41 PM
Luderitz,NA,-26.65,53.6,87,0,12.75,07/12/2019 - 05:38 PM
Chaklasi,IN,22.65,83.9,70,0,12.46,07/12/2019 - 05:41 PM
Kununurra,AU,-15.77,59.0,51,40,4.7,07/12/2019 - 05:41 PM
Bilma,NE,18.69,96.32,21,33,8.57,07/12/2019 - 05:41 PM
Ravar,IR,31.27,78.68,17,0,5.26,07/12/2019 - 05:41 PM
Nouadhibou,MR,20.93,69.8,77,0,17.22,07/12/2019 - 05:41 PM
Novikovo,RU,51.15,55.1,89,4,4.74,07/12/2019 - 05:41 PM
Qarayeri,AZ,40.79,73.4,60,75,13.87,07/12/2019 - 05:41 PM
Omboue,GA,-1.57,73.46,91,45,10.98,07/12/2019 - 05:41 PM
Leningradskiy,RU,69.38,47.0,74,13,8.61,07/12/2019 - 05:41 PM
Goure,NE,13.98,88.76,44,77,9.33,07/12/2019 - 05:41 PM
Santo Domingo,CU,22.59,89.6,52,40,13.87,07/12/2019 - 05:41 PM
Bayonet Point,US,28.33,90.0,66,1,9.17,07/12/2019 - 05:40 PM
Los Andes,CL,-32.83,57.2,54,6,6.93,07/12/2019 - 05:41 PM
Hue,VN,16.47,86.0,62,20,3.36,07/12/2019 - 05:41 PM
San Carlos de Bariloche,AR,-41.13,44.6,65,75,4.7,07/12/2019 - 05:41 PM
Port-de-Bouc,FR,43.4,86.0,35,0,8.05,07/12/2019 - 05:41 PM
Whitehorse,CA,60.72,69.01,52,75,3.36,07/12/2019 - 05:38 PM
Tautira,PF,-17.73,77.0,88,75,16.11,07/12/2019 - 05:41 PM
Basoko,CD,1.23,69.68,93,88,2.08,07/12/2019 - 05:41 PM
Porosozero,RU,62.72,43.94,97,99,6.35,07/12/2019 - 05:41 PM
Zeya,RU,53.74,62.84,69,7,3.0,07/12/2019 - 05:41 PM
Yerbogachen,RU,61.28,56.18,79,25,7.0,07/12/2019 - 05:41 PM
Carutapera,BR,-1.2,76.34,90,12,6.29,07/12/2019 - 05:41 PM
Mangan,IN,27.5,57.44,97,100,1.61,07/12/2019 - 05:41 PM
San Policarpo,PH,12.18,76.88,90,69,7.31,07/12/2019 - 05:41 PM
Muroto,JP,33.37,73.4,83,75,3.36,07/12/2019 - 05:41 PM
Colares,PT,38.8,70.0,77,0,6.93,07/12/2019 - 05:41 PM
Awbari,LY,26.59,90.2,11,0,4.94,07/12/2019 - 05:41 PM
Guayaramerin,BO,-10.82,86.24,55,85,1.48,07/12/2019 - 05:41 PM
Moose Factory,CA,51.26,62.6,77,90,8.05,07/12/2019 - 05:41 PM
Kavieng,PG,-2.57,82.64,74,100,12.33,07/12/2019 - 05:41 PM
Kargasok,RU,59.06,62.48,76,0,5.12,07/12/2019 - 05:41 PM
Ekhabi,RU,53.51,50.06,93,100,8.12,07/12/2019 - 05:41 PM
Urucara,BR,-2.54,85.34,64,2,3.53,07/12/2019 - 05:41 PM
Haysville,US,37.56,91.99,45,1,10.29,07/12/2019 - 05:41 PM
Warrington,US,40.25,89.6,54,20,6.93,07/12/2019 - 05:41 PM
Nichinan,JP,31.65,71.6,83,75,6.93,07/12/2019 - 05:41 PM
Liberal,US,37.04,97.0,44,1,11.41,07/12/2019 - 05:40 PM
Dunedin,NZ,-45.87,51.01,68,13,10.0,07/12/2019 - 05:41 PM
Lake Charles,US,30.23,96.8,49,40,10.29,07/12/2019 - 05:41 PM
Nikolskoye,RU,59.7,53.01,87,20,4.47,07/12/2019 - 05:41 PM
Ostrovnoy,RU,68.05,37.46,86,20,1.54,07/12/2019 - 05:41 PM
South Yuba City,US,39.12,98.01,29,1,3.36,07/12/2019 - 05:41 PM
