City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date - Time Reported
Sao Luis do Quitunde,BR,-9.32,69.8,94,40,8.05,07/13/2019 - 01:50 AM
Fenton,US,42.8,66.2,87,1,3.36,07/13/2019 - 01:52 AM
Sovetskiy,RU,56.76,63.23,86,95,6.42,07/13/2019 - 01:52 AM
Batemans Bay,AU,-35.71,59.0,85,0,10.0,07/13/2019 - 01:52 AM
Henties Bay,NA,-22.12,53.01,95,0,5.01,07/13/2019 - 01:52 AM
Yabelo,ET,4.89,66.11,70,100,2.06,07/13/2019 - 01:52 AM
Quelimane,MZ,-17.88,57.2,100,20,3.36,07/13/2019 - 01:52 AM
Henderson,US,36.04,95.0,20,1,4.7,07/13/2019 - 01:49 AM
Petropavlovsk-Kamchatskiy,RU,53.05,55.4,87,75,8.95,07/13/2019 - 01:52 AM
Saboya,CO,5.7,55.31,90,93,5.77,07/13/2019 - 01:52 AM
Vestmannaeyjar,IS,63.44,52.61,94,98,7.72,07/13/2019 - 01:52 AM
Carutapera,BR,-1.2,73.13,96,16,4.83,07/13/2019 - 01:52 AM
Celina,US,40.55,66.99,77,1,5.19,07/13/2019 - 01:52 AM
Ternate,ID,0.8,80.15,76,70,25.48,07/13/2019 - 01:52 AM
Vuktyl,RU,63.86,67.01,58,100,8.9,07/13/2019 - 01:52 AM
Talcahuano,CL,-36.72,51.8,100,90,17.22,07/13/2019 - 01:52 AM
Winneba,GH,5.35,77.0,94,75,11.41,07/13/2019 - 01:52 AM
Qeshm,IR,26.96,95.0,67,40,6.93,07/13/2019 - 01:52 AM
Haradok,BY,55.46,55.4,71,0,2.06,07/13/2019 - 01:52 AM
Acajutla,SV,13.59,80.87,81,42,9.13,07/13/2019 - 01:52 AM
Bo,NO,59.41,68.0,89,21,1.95,07/13/2019 - 01:52 AM
Shalya,RU,57.25,84.83,37,52,12.26,07/13/2019 - 01:52 AM
Timbuktu,ML,16.77,87.35,45,36,18.23,07/13/2019 - 01:52 AM
Koyelga,RU,54.65,78.17,64,34,12.39,07/13/2019 - 01:52 AM
Tsiroanomandidy,MG,-18.77,65.57,60,0,3.29,07/13/2019 - 01:52 AM
Provideniya,RU,64.42,70.25,44,100,5.28,07/13/2019 - 01:52 AM
Inongo,CD,-1.93,74.57,78,89,0.54,07/13/2019 - 01:52 AM
Aktash,RU,50.31,60.71,48,60,5.95,07/13/2019 - 01:52 AM
Erzin,RU,50.26,70.61,53,56,2.93,07/13/2019 - 01:52 AM
Fairbanks,US,64.84,64.4,93,75,2.77,07/13/2019 - 01:52 AM
Linaon,PH,9.95,79.61,84,100,15.23,07/13/2019 - 01:52 AM
Sitka,US,37.17,72.0,79,0,9.86,07/13/2019 - 01:52 AM
Tarko-Sale,RU,64.92,71.01,49,6,8.01,07/13/2019 - 01:52 AM
Wawa,CA,47.99,52.07,97,12,1.45,07/13/2019 - 01:52 AM
Krutikha,RU,53.96,76.01,47,41,14.45,07/13/2019 - 01:52 AM
Nola,CF,3.52,68.81,96,85,0.58,07/13/2019 - 01:52 AM
Bridlington,GB,54.08,61.0,87,75,8.05,07/13/2019 - 01:52 AM
Sorland,NO,67.67,50.0,93,90,10.29,07/13/2019 - 01:52 AM
Hobyo,SO,5.35,86.81,50,68,23.71,07/13/2019 - 01:52 AM
Shaowu,CN,27.34,75.11,98,100,6.15,07/13/2019 - 01:52 AM
Jacareacanga,BR,-6.22,72.95,76,60,2.15,07/13/2019 - 01:52 AM
Bilma,NE,18.69,88.61,36,0,11.48,07/13/2019 - 01:52 AM
Rundu,NA,-17.91,42.8,56,0,1.12,07/13/2019 - 01:52 AM
Bilibino,RU,68.06,75.83,37,86,14.94,07/13/2019 - 01:52 AM
Beira,MZ,-19.84,60.8,100,20,4.7,07/13/2019 - 01:52 AM
Port Macquarie,AU,-31.43,64.99,29,35,23.04,07/13/2019 - 01:52 AM
Tutoia,BR,-2.76,70.25,95,2,4.07,07/13/2019 - 01:52 AM
Mirabad,AF,30.44,108.05,8,0,22.7,07/13/2019 - 01:52 AM
Poum,NC,-20.23,71.87,73,74,8.52,07/13/2019 - 01:52 AM
Tambovka,RU,47.32,71.33,52,100,11.07,07/13/2019 - 01:52 AM
Klyuchi,RU,52.25,79.25,44,6,14.97,07/13/2019 - 01:52 AM
Hambantota,LK,6.12,86.0,84,40,19.46,07/13/2019 - 01:52 AM
Tyrma,RU,50.04,73.85,79,85,5.82,07/13/2019 - 01:52 AM
Waingapu,ID,-9.65,79.07,52,65,16.91,07/13/2019 - 01:52 AM
Schoningen,DE,51.63,60.01,93,75,6.93,07/13/2019 - 01:52 AM
Roald,NO,62.58,53.6,93,75,4.7,07/13/2019 - 01:52 AM
Hamilton,BM,32.3,79.0,83,20,8.05,07/13/2019 - 01:52 AM
Husainabad,IN,24.53,91.85,55,100,13.73,07/13/2019 - 01:52 AM
Safford,US,32.83,87.8,33,1,6.93,07/13/2019 - 01:52 AM
Bacolod,PH,10.68,80.51,84,100,15.39,07/13/2019 - 01:52 AM
Masterton,NZ,-40.95,57.0,72,71,1.99,07/13/2019 - 01:52 AM
Arivonimamo,MG,-19.01,59.0,72,20,5.82,07/13/2019 - 01:52 AM
Cabra,PH,13.89,85.37,63,63,4.65,07/13/2019 - 01:52 AM
Setermoen,NO,68.86,57.2,67,20,3.36,07/13/2019 - 01:52 AM
Tarancon,ES,40.01,82.0,68,20,8.05,07/13/2019 - 01:52 AM
Mahanoro,MG,-19.9,68.99,83,13,1.28,07/13/2019 - 01:52 AM
Aguada de Cima,PT,40.52,68.0,100,75,6.93,07/13/2019 - 01:52 AM
Ust-Kan,RU,50.93,62.51,64,85,5.32,07/13/2019 - 01:52 AM
Atar,MR,20.52,88.25,25,0,6.71,07/13/2019 - 01:52 AM
Summerville,US,33.02,80.6,88,1,5.79,07/13/2019 - 01:51 AM
Kalakamati,BW,-20.59,32.0,25,0,1.12,07/13/2019 - 01:52 AM
Yar-Sale,RU,66.83,63.95,48,2,5.03,07/13/2019 - 01:52 AM
Manado,ID,1.49,91.4,49,20,9.17,07/13/2019 - 01:52 AM
Kodinsk,RU,58.6,83.75,26,15,3.98,07/13/2019 - 01:52 AM
Buala,SB,-8.15,82.67,76,100,8.81,07/13/2019 - 01:52 AM
Katsuura,JP,33.93,75.0,88,75,5.82,07/13/2019 - 01:52 AM
Maldonado,UY,-34.91,51.8,93,90,9.17,07/13/2019 - 01:52 AM
Namibe,AO,-15.19,65.21,85,1,3.51,07/13/2019 - 01:52 AM
Morant Bay,JM,17.88,82.4,54,20,8.05,07/13/2019 - 01:52 AM
Maua,KE,0.23,56.21,69,95,4.47,07/13/2019 - 01:52 AM
Cabo San Lucas,MX,22.89,82.4,42,5,11.41,07/13/2019 - 01:48 AM
Ammon,US,43.47,69.8,72,1,6.71,07/13/2019 - 01:52 AM
Kavieng,PG,-2.57,81.95,74,100,5.88,07/13/2019 - 01:52 AM
Abong Mbang,CM,3.98,67.01,98,77,2.04,07/13/2019 - 01:52 AM
Meulaboh,ID,4.14,83.75,69,43,2.98,07/13/2019 - 01:52 AM
Ati,TD,13.21,80.51,63,51,9.17,07/13/2019 - 01:52 AM
Manggar,ID,-2.88,86.45,58,28,8.88,07/13/2019 - 01:52 AM
Skibbereen,IE,51.55,55.4,87,75,8.05,07/13/2019 - 01:52 AM
Marsh Harbour,BS,26.54,83.21,76,27,9.86,07/13/2019 - 01:52 AM
Cockburn Town,TC,21.46,81.95,78,0,18.5,07/13/2019 - 01:52 AM
Palana,RU,59.08,55.85,79,0,8.23,07/13/2019 - 01:53 AM
Den Helder,NL,52.96,64.0,82,90,5.82,07/13/2019 - 01:52 AM
Watsa,CD,3.04,66.83,94,98,2.04,07/13/2019 - 01:53 AM
Nanga Eboko,CM,4.68,68.27,97,98,2.48,07/13/2019 - 01:53 AM
Lask,PL,51.59,64.99,87,99,1.12,07/13/2019 - 01:53 AM
Mount Gambier,AU,-37.83,48.2,76,40,18.34,07/13/2019 - 01:53 AM
Les Cayes,HT,18.19,81.05,77,0,13.58,07/13/2019 - 01:53 AM
Bani,DO,18.28,77.0,87,5,1.01,07/13/2019 - 01:53 AM
Monduli,TZ,-3.3,60.8,87,40,6.93,07/13/2019 - 01:53 AM
Dongsheng,CN,29.72,83.21,68,92,0.4,07/13/2019 - 01:53 AM
Pemba,MZ,-12.97,68.0,94,75,11.41,07/13/2019 - 01:53 AM
Hay River,CA,60.82,53.6,71,75,4.7,07/13/2019 - 01:53 AM
Muisne,EC,0.61,74.57,83,82,11.65,07/13/2019 - 01:53 AM
Estrela,BR,-29.5,64.99,97,75,2.3,07/13/2019 - 01:53 AM
Hampden,US,42.06,73.4,73,75,5.82,07/13/2019 - 01:53 AM
Mambajao,PH,9.25,79.79,82,100,10.54,07/13/2019 - 01:53 AM
Dodge City,US,37.75,73.99,73,1,10.29,07/13/2019 - 01:50 AM
Brooks,CA,50.57,66.0,58,65,1.99,07/13/2019 - 01:53 AM
Ojinaga,MX,29.57,82.4,42,1,6.93,07/13/2019 - 01:53 AM
Ulladulla,AU,-35.36,55.4,37,0,28.86,07/13/2019 - 01:53 AM
Sassandra,CI,4.95,70.43,98,77,2.62,07/13/2019 - 01:53 AM
Santa Maria,CV,16.6,73.4,78,75,9.17,07/13/2019 - 01:53 AM
Marystown,CA,47.17,49.37,92,100,1.97,07/13/2019 - 01:53 AM
Kamnik,SI,46.23,64.0,93,40,1.12,07/13/2019 - 01:53 AM
Klaksvik,FO,62.23,51.8,93,94,2.24,07/13/2019 - 01:53 AM
Nabire,ID,-3.36,76.91,67,66,6.44,07/13/2019 - 01:53 AM
Uvinza,TZ,-5.1,72.59,50,90,7.09,07/13/2019 - 01:53 AM
Taltal,CL,-25.41,50.09,78,44,1.68,07/13/2019 - 01:53 AM
Tira Sujanpur,IN,31.83,83.57,61,69,4.14,07/13/2019 - 01:48 AM
Lieksa,FI,63.32,50.27,73,20,9.86,07/13/2019 - 01:53 AM
Huntsville,US,34.73,77.0,94,75,5.82,07/13/2019 - 01:50 AM
Menongue,AO,-14.66,49.01,41,1,3.6,07/13/2019 - 01:53 AM
Westport,NZ,-41.75,47.75,93,55,8.21,07/13/2019 - 01:53 AM
Amudat,UG,1.95,67.19,84,100,2.42,07/13/2019 - 01:53 AM
Punta Gorda,US,26.93,81.0,94,1,5.82,07/13/2019 - 01:53 AM
Marshall,US,39.39,68.0,93,90,2.08,07/13/2019 - 01:53 AM
Karaidel,RU,55.83,79.07,67,53,11.12,07/13/2019 - 01:53 AM
Leshukonskoye,RU,64.9,61.61,51,0,4.16,07/13/2019 - 01:53 AM
Shellbrook,CA,53.22,64.4,77,20,4.7,07/13/2019 - 01:53 AM
Mitsamiouli,KM,-11.38,78.35,74,0,21.36,07/13/2019 - 01:53 AM
Maniitsoq,GL,65.42,44.15,82,100,16.08,07/13/2019 - 01:53 AM
Mallow,IE,52.14,57.99,87,75,8.05,07/13/2019 - 01:53 AM
Tatarsk,RU,55.22,77.45,57,0,8.12,07/13/2019 - 01:53 AM
Vardo,NO,70.37,43.61,87,0,12.01,07/13/2019 - 01:53 AM
Penzance,GB,50.12,61.0,93,40,4.7,07/13/2019 - 01:53 AM
Ust-Kuyga,RU,70.0,62.69,46,60,8.95,07/13/2019 - 01:53 AM
Sabang,ID,1.17,82.67,74,51,15.66,07/13/2019 - 01:53 AM
Puerto Escondido,MX,15.86,77.09,89,100,1.88,07/13/2019 - 01:53 AM
Camacha,PT,33.08,69.8,94,40,13.87,07/13/2019 - 01:53 AM
Vao,NC,-22.67,71.69,78,10,17.36,07/13/2019 - 01:53 AM
Rawlins,US,41.79,68.0,38,1,5.82,07/13/2019 - 01:51 AM
Buluang,PH,10.47,82.4,69,75,9.17,07/13/2019 - 01:53 AM
Egvekinot,RU,66.32,71.87,45,89,8.16,07/13/2019 - 01:53 AM
Sao Joao da Barra,BR,-21.64,59.27,89,0,3.85,07/13/2019 - 01:53 AM
Puerto Vallarta,MX,20.61,80.01,100,90,3.36,07/13/2019 - 01:53 AM
Pagouria,GR,41.03,72.0,88,20,3.36,07/13/2019 - 01:53 AM
Tomatlan,MX,19.93,81.41,83,99,6.44,07/13/2019 - 01:53 AM
Clinton,US,30.87,82.0,88,90,20.8,07/13/2019 - 01:53 AM
Verkh-Usugli,RU,52.7,74.03,48,89,9.33,07/13/2019 - 01:53 AM
Srednekolymsk,RU,67.46,82.31,39,59,4.79,07/13/2019 - 01:53 AM
Ullubiyaul,RU,42.59,68.0,68,75,17.9,07/13/2019 - 01:53 AM
Broken Hill,AU,-31.97,55.4,39,40,20.8,07/13/2019 - 01:53 AM
Arman,RU,59.7,78.35,49,4,8.21,07/13/2019 - 01:53 AM
Yining,CN,29.04,74.21,96,100,2.53,07/13/2019 - 01:53 AM
Port Hedland,AU,-20.31,86.0,8,0,20.8,07/13/2019 - 01:53 AM
Solnechnyy,RU,50.72,65.93,86,100,3.38,07/13/2019 - 01:53 AM
Talakan,RU,50.29,76.73,81,75,2.46,07/13/2019 - 01:53 AM
Edd,ER,13.93,95.45,36,10,1.61,07/13/2019 - 01:53 AM
Polunochnoye,RU,60.87,57.65,98,100,6.51,07/13/2019 - 01:53 AM
Dawei,MM,14.07,82.31,78,100,11.39,07/13/2019 - 01:53 AM
Rawson,AR,-43.3,42.35,70,9,13.02,07/13/2019 - 01:53 AM
Ereymentau,KZ,51.62,79.43,35,0,12.8,07/13/2019 - 01:53 AM
Chacabuco,AR,-34.64,45.95,90,0,4.16,07/13/2019 - 01:52 AM
Manicore,BR,-5.81,71.69,92,19,0.2,07/13/2019 - 01:53 AM
San Andres,CO,8.22,73.67,98,94,1.83,07/13/2019 - 01:53 AM
Rafsanjan,IR,30.4,91.31,15,0,4.0,07/13/2019 - 01:53 AM
Brekstad,NO,63.69,54.0,93,75,9.17,07/13/2019 - 01:53 AM
Jieshi,CN,22.82,89.01,77,100,5.01,07/13/2019 - 01:53 AM
Shache,CN,38.42,96.35,9,11,6.71,07/13/2019 - 01:53 AM
Yulara,AU,-25.24,64.4,31,0,11.41,07/13/2019 - 01:53 AM
Jucurutu,BR,-6.03,70.43,79,0,10.83,07/13/2019 - 01:53 AM
Samur,RU,41.83,62.87,84,71,5.37,07/13/2019 - 01:53 AM
Saint-Leu,RE,-21.15,75.2,47,0,4.7,07/13/2019 - 01:53 AM
Ocampo,MX,27.32,71.15,68,16,3.2,07/13/2019 - 01:53 AM
Ewa Beach,US,21.32,82.4,58,20,11.41,07/13/2019 - 01:53 AM
Monticello,US,37.88,75.2,25,31,5.82,07/13/2019 - 01:53 AM
Narrabri,AU,-30.33,59.0,30,75,21.92,07/13/2019 - 01:53 AM
Evensk,RU,61.92,67.73,56,0,8.34,07/13/2019 - 01:53 AM
Thinadhoo,MV,0.53,84.47,76,34,12.41,07/13/2019 - 01:52 AM
Barreirinhas,BR,-2.75,70.97,96,31,2.84,07/13/2019 - 01:53 AM
Wattegama,LK,7.35,88.43,53,39,6.87,07/13/2019 - 01:53 AM
Kostomuksha,RU,64.59,50.99,71,55,9.35,07/13/2019 - 01:53 AM
Maneadero,MX,31.72,64.99,90,13,1.01,07/13/2019 - 01:53 AM
Beringovskiy,RU,63.05,70.97,51,47,0.98,07/13/2019 - 01:53 AM
Lazaro Cardenas,MX,28.39,80.01,41,40,1.99,07/13/2019 - 01:53 AM
Sacramento,BR,-19.87,64.4,52,0,6.93,07/13/2019 - 01:53 AM
Chumikan,RU,54.72,63.23,74,81,6.98,07/13/2019 - 01:53 AM
Riga,LV,56.95,59.0,82,20,4.7,07/13/2019 - 01:53 AM
San Isidro,PH,11.41,84.11,64,100,3.06,07/13/2019 - 01:53 AM
Raudeberg,NO,61.99,59.0,77,19,4.7,07/13/2019 - 01:53 AM
Erbaa,TR,40.67,68.0,68,20,4.7,07/13/2019 - 01:53 AM
Kieta,PG,-6.22,82.85,78,44,11.05,07/13/2019 - 01:53 AM
Morehead,PG,-8.71,81.23,59,100,8.77,07/13/2019 - 01:53 AM
Dori,BF,14.03,82.13,61,100,16.02,07/13/2019 - 01:53 AM
Nome,US,30.04,84.0,88,1,6.93,07/13/2019 - 01:53 AM
Vilyuysk,RU,63.75,83.57,48,45,3.2,07/13/2019 - 01:53 AM
Salinas,EC,0.49,50.81,88,30,3.04,07/13/2019 - 01:53 AM
Aksarka,RU,66.56,65.57,39,24,3.36,07/13/2019 - 01:53 AM
Corn Island,NI,12.17,81.95,77,65,14.14,07/13/2019 - 01:49 AM
Poronaysk,RU,49.22,52.43,94,100,3.36,07/13/2019 - 01:53 AM
Kashi,CN,39.45,87.8,20,0,6.71,07/13/2019 - 01:53 AM
Soyo,AO,-6.13,72.05,88,40,10.04,07/13/2019 - 01:53 AM
Xuddur,SO,4.12,79.25,58,78,23.49,07/13/2019 - 01:53 AM
Makakilo City,US,21.35,82.4,65,75,10.29,07/13/2019 - 01:53 AM
Dali,CN,25.6,61.07,97,100,3.2,07/13/2019 - 01:53 AM
Muroto,JP,33.37,75.2,83,75,1.12,07/13/2019 - 01:53 AM
Kuching,MY,1.56,91.4,63,75,6.93,07/13/2019 - 01:53 AM
Tres Arroyos,AR,-38.38,41.27,75,0,4.9,07/13/2019 - 01:53 AM
Nakamura,JP,35.17,82.99,69,75,1.12,07/13/2019 - 01:53 AM
Peterhead,GB,57.51,55.99,93,90,4.7,07/13/2019 - 01:53 AM
Samarai,PG,-10.62,72.95,96,100,3.91,07/13/2019 - 01:53 AM
Waipawa,NZ,-39.94,54.0,75,34,5.99,07/13/2019 - 01:53 AM
Capao da Canoa,BR,-29.75,62.51,96,98,2.3,07/13/2019 - 01:53 AM
Mehamn,NO,71.03,45.59,70,100,9.98,07/13/2019 - 01:53 AM
Koson,UZ,39.04,98.6,23,0,2.24,07/13/2019 - 01:53 AM
Abalak,NE,15.46,79.79,63,9,16.46,07/13/2019 - 01:53 AM
Rocha,UY,-34.48,51.35,92,98,7.43,07/13/2019 - 01:53 AM
Terenos,BR,-20.44,59.0,72,0,4.7,07/13/2019 - 01:53 AM
Yarmouth,CA,43.84,64.0,93,40,5.82,07/13/2019 - 01:53 AM
Straumen,NO,63.87,54.0,81,90,2.24,07/13/2019 - 01:53 AM
Virginia Beach,US,36.85,82.4,94,1,3.36,07/13/2019 - 01:53 AM
Krasnozerskoye,RU,53.98,77.45,44,0,14.43,07/13/2019 - 01:53 AM
Alofi,NU,-19.06,71.6,94,58,10.29,07/13/2019 - 01:53 AM
Manchester,US,43.0,70.0,100,75,5.82,07/13/2019 - 01:53 AM
Nicoya,CR,10.15,78.8,74,0,4.7,07/13/2019 - 01:53 AM
Miles City,US,46.41,69.8,73,1,6.93,07/13/2019 - 01:53 AM
Tessalit,ML,20.2,87.53,20,0,10.58,07/13/2019 - 01:53 AM
Belmonte,BR,-26.84,60.17,85,1,2.39,07/13/2019 - 01:53 AM
Itarema,BR,-2.92,72.41,91,2,5.93,07/13/2019 - 01:53 AM
Lakatoro,VU,-16.11,79.07,74,83,11.05,07/13/2019 - 01:53 AM
Gladstone,AU,-23.84,80.6,19,42,9.17,07/13/2019 - 01:53 AM
Boda,CF,4.32,69.17,95,100,1.45,07/13/2019 - 01:53 AM
Burlington,US,36.1,77.0,94,75,2.84,07/13/2019 - 01:53 AM
Lake City,US,38.03,60.8,38,1,3.36,07/13/2019 - 01:53 AM
Marseille,FR,43.3,82.99,53,0,25.28,07/13/2019 - 01:53 AM
Arona,ES,28.1,70.0,82,20,4.7,07/13/2019 - 01:53 AM
Banda Aceh,ID,5.56,84.65,70,100,12.84,07/13/2019 - 01:53 AM
Alekseyevka,RU,53.25,62.6,82,40,15.66,07/13/2019 - 01:53 AM
Hovd,MN,48.01,64.67,43,10,5.95,07/13/2019 - 01:53 AM
Tigil,RU,57.8,70.43,61,24,7.34,07/13/2019 - 01:53 AM
Anshun,CN,26.25,62.33,94,100,2.89,07/13/2019 - 01:53 AM
Honiara,SB,-9.43,89.6,66,75,10.29,07/13/2019 - 01:53 AM
Saryg-Sep,RU,51.49,73.49,57,85,5.14,07/13/2019 - 01:53 AM
Aswan,EG,24.09,95.09,14,0,15.61,07/13/2019 - 01:53 AM
Inuvik,CA,68.36,53.6,54,40,4.7,07/13/2019 - 01:53 AM
Marevo,RU,57.31,55.67,68,72,3.58,07/13/2019 - 01:53 AM
Beipiao,CN,41.8,81.41,43,35,9.15,07/13/2019 - 01:53 AM
Ust-Nera,RU,64.57,72.95,40,46,3.6,07/13/2019 - 01:53 AM
Guerrero Negro,MX,27.97,67.01,84,0,12.08,07/13/2019 - 01:53 AM
Hernani,PH,11.32,82.49,77,100,5.32,07/13/2019 - 01:53 AM
Provost,CA,52.35,59.27,82,70,0.78,07/13/2019 - 01:53 AM
Akom,CM,2.67,66.47,98,93,1.1,07/13/2019 - 01:53 AM
Mogok,MM,22.92,79.61,70,93,4.47,07/13/2019 - 01:53 AM
Van,TR,38.51,72.0,46,20,5.82,07/13/2019 - 01:53 AM
Hammerfest,NO,70.66,50.0,61,0,14.99,07/13/2019 - 01:53 AM
Bowen,AU,-20.01,77.0,31,99,9.17,07/13/2019 - 01:53 AM
Broome,AU,-17.97,87.8,9,0,14.99,07/13/2019 - 01:53 AM
Kutum,SD,14.2,75.47,61,17,13.47,07/13/2019 - 01:53 AM
Ariquemes,BR,-9.91,75.47,69,47,0.56,07/13/2019 - 01:53 AM
Tadine,NC,-21.55,73.67,77,100,14.9,07/13/2019 - 01:53 AM
Camabatela,AO,-8.19,60.53,94,51,0.89,07/13/2019 - 01:53 AM
La Sarre,CA,48.8,55.67,88,44,5.7,07/13/2019 - 01:52 AM
Santa Maria do Suacui,BR,-18.19,54.41,93,0,1.68,07/13/2019 - 01:53 AM
Hun,LY,29.13,80.69,49,0,6.02,07/13/2019 - 01:53 AM
Boende,CD,-0.28,72.23,88,50,1.92,07/13/2019 - 01:53 AM
Kashary,RU,49.04,70.07,57,43,7.31,07/13/2019 - 01:53 AM
Husavik,IS,66.04,50.0,87,75,3.36,07/13/2019 - 01:53 AM
Smithers,CA,54.78,60.8,82,75,4.12,07/13/2019 - 01:53 AM
Caiaponia,BR,-16.96,63.41,56,0,2.62,07/13/2019 - 01:53 AM
Payson,US,40.04,80.01,33,1,6.51,07/13/2019 - 01:53 AM
Warrnambool,AU,-38.38,50.0,61,49,17.0,07/13/2019 - 01:53 AM
Puerto Baquerizo Moreno,EC,-0.9,71.15,86,99,8.72,07/13/2019 - 01:53 AM
Kasane,BW,-17.8,44.6,48,0,3.36,07/13/2019 - 01:53 AM
Valence,FR,44.93,71.01,77,75,6.93,07/13/2019 - 01:53 AM
Gallipoli,IT,40.06,75.99,93,75,1.12,07/13/2019 - 01:53 AM
Bartoszyce,PL,54.25,61.25,78,84,4.41,07/13/2019 - 01:53 AM
Tshane,BW,-24.02,52.97,29,0,9.28,07/13/2019 - 01:53 AM
Baiyin,CN,36.55,78.8,34,20,4.47,07/13/2019 - 01:53 AM
Slave Lake,CA,55.28,64.4,72,1,4.7,07/13/2019 - 01:53 AM
Zinder,NE,13.81,83.03,55,83,7.74,07/13/2019 - 01:53 AM
Chotila,IN,22.42,93.99,55,60,20.38,07/13/2019 - 01:53 AM
Aykhal,RU,65.95,68.0,42,75,2.24,07/13/2019 - 01:53 AM
Campobasso,IT,41.56,73.0,91,8,5.41,07/13/2019 - 01:53 AM
Alekseyevsk,RU,57.84,74.75,39,49,7.81,07/13/2019 - 01:53 AM
Maragogi,BR,-9.01,67.91,95,35,2.95,07/13/2019 - 01:53 AM
Tabou,CI,4.42,72.23,93,86,4.76,07/13/2019 - 01:53 AM
Honningsvag,NO,70.98,45.05,81,99,12.33,07/13/2019 - 01:53 AM
Tongliao,CN,43.61,88.07,30,83,5.73,07/13/2019 - 01:51 AM
Jardim,BR,-21.48,62.87,62,0,4.16,07/13/2019 - 01:53 AM
Bambanglipuro,ID,-7.95,75.65,79,0,18.68,07/13/2019 - 01:53 AM
Coos Bay,US,43.37,63.0,82,90,9.17,07/13/2019 - 01:50 AM
Renala Khurd,PK,30.88,101.39,35,0,11.65,07/13/2019 - 01:53 AM
Wanning,CN,18.8,94.37,48,100,7.25,07/13/2019 - 01:53 AM
Vostok,RU,46.45,77.99,48,85,3.22,07/13/2019 - 01:53 AM
Prieska,ZA,-29.67,54.05,26,0,9.26,07/13/2019 - 01:53 AM
Pocone,BR,-16.26,68.99,44,0,3.27,07/13/2019 - 01:54 AM
Luocheng,CN,28.29,77.09,91,100,2.17,07/13/2019 - 01:54 AM
Lodwar,KE,3.12,82.13,49,100,10.8,07/13/2019 - 01:54 AM
Black Diamond,CA,50.69,61.0,77,75,2.24,07/13/2019 - 01:54 AM
Naftalan,AZ,40.5,78.8,65,40,5.82,07/13/2019 - 01:54 AM
Belyy Yar,RU,53.6,68.0,72,40,2.24,07/13/2019 - 01:54 AM
Fortuna,US,40.6,62.01,87,90,6.93,07/13/2019 - 01:54 AM
Chiang Klang,TH,19.29,93.2,46,40,4.7,07/13/2019 - 01:54 AM
Gold Coast,AU,-28.0,75.2,33,21,12.75,07/13/2019 - 01:49 AM
Zhangye,CN,38.94,72.77,40,99,14.12,07/13/2019 - 01:54 AM
Nikolayevsk-na-amure,RU,53.14,65.39,63,0,8.05,07/13/2019 - 01:54 AM
Wichian Buri,TH,15.66,90.77,58,100,9.01,07/13/2019 - 01:54 AM
Hue,VN,16.47,104.0,35,20,12.75,07/13/2019 - 01:54 AM
Altay,CN,47.83,66.29,41,19,5.7,07/13/2019 - 01:54 AM
Siemiatycze,PL,52.43,71.01,61,96,3.76,07/13/2019 - 01:54 AM
Chuzhou,CN,32.25,82.85,61,89,4.12,07/13/2019 - 01:51 AM
Melilla,ES,35.29,75.2,69,0,2.24,07/13/2019 - 01:54 AM
Ukiah,US,39.15,66.0,74,0,3.09,07/13/2019 - 01:54 AM
Pangai,TO,-19.8,75.2,83,75,11.41,07/13/2019 - 01:54 AM
The Valley,AI,18.22,82.0,78,40,10.29,07/13/2019 - 01:54 AM
Abay,KZ,49.63,77.0,41,0,17.9,07/13/2019 - 01:54 AM
Georgiyevskoye,RU,44.16,67.01,73,67,7.02,07/13/2019 - 01:54 AM
Baykit,RU,61.68,78.35,35,32,7.56,07/13/2019 - 01:54 AM
Sudislavl,RU,57.88,60.53,56,37,1.83,07/13/2019 - 01:54 AM
Mareeba,AU,-16.99,78.8,47,100,17.22,07/13/2019 - 01:54 AM
